language,proverb_native_script,romanized_as_extracted,literal_translation,figurative_meaning
Marathi,तूस कांडून हातास फोड,Tusa kanduna hatasa phoda,To Hitter the hand by pounding chaff.,To spend strength in nselees work.
Marathi,नकटे व्हावे पण धाकटे होऊ नये,Nakate vhave pana dhakate hou naye,"Setter be noele»t than ineignifcant. 412 'ra'ffWT Wra TTflf flWTlTT TWTTflf NakatydiS. laza oHhi vakatyallL bhciza DiLbl A Hogelett man hoe no tkame, a» vgly man no wife. 413 iVT vrern p0 vm tnnTT Naka karu kasarata tumhl zala ghasarata So not train yom-self for wrettling or you leiiliiip. 414 Tra reSf 7TT 'ra wrtt Naka asale tara natba lyavi If you iave a nose you can vtear a note-ring. ' If jou have a head jon can get eighty-five tnrbaDS ' (Hindustani). 429. 415 WWi flTT IT ' Wf n Naka kapale tara mkane bhoka ahe His note it cut off and he say» ' There it a hole.' 416 Wn TW fftwsi Naka dabale ki tonda ughadate When the nSse it pinched the mouth opens.",The last three words may be mhanaje a vdtato (he saya
Marathi,पोकळ लागले म्हणून कोपराने खणू नये,Fokala lagale mhanuna koiiiparane khanu naye,Bo not dig with your elboto because it is soft.,The two first words may be mail sdmpadale and mean the same.
Marathi,अहो रूपम् अहो ध्वनिः,Aho riipam aho dhvaaih,"What a heautj/! What a sweet voice! The donkey sajrs to the camel, 'Wbat a beaaty you are;' the latter, not to le outdone, answers, ' Wliat a sweet voice you have.' A satire on mutual and undeserved compliments. 98 'ffi »ft' IPftW Aitse dUdha ki gayitse dudha Mother's milk or cow's milk.","Two similar matters about which there is little choice, both being good."
Marathi,एकाने गाय मारली म्हणून दुसऱ्याने वासरू मारू नये,Ekane gaya tnarali mhanuna dusaryane vasarii,maru naye Because one killed a cow anoiier ihould not kill a calf.,
Marathi,सरड्याची धाव कुंपणापर्यंत,Saradjaci dhava kuihpanaparyafita,A chameleon's run extendi to the hedge.,He knows Dothin beyond. Ne sutor ultra crepidam.
Marathi,विंचवाचे बिऱ्हाड पाठीवर,Yiiitsavtse birhSxIa pathivara,The scorpion's luggage i» on kit back.,He has no impedimenta; he pats ap his tail and moves on.
Marathi,मोर सुंदर पण पाय काळे,Mora suiidara pana paya kale,The peaeoek it beautiful but hit feet are black.,A man may be accomplished but there will be some defect id him.
Marathi,बळ मुंगीचे धैर्य स्त्रीचे,Bala muiigltse dbairja stntse,"Ah ant'i Hrength, a woman' courage.","An ant's strength is greater, for its size, than that of any other insect or animal; a woman is more courageous in enduring than a man is."
Marathi,कीड मुंगी खाई तर तारू सलामत जाई,Kida mun khai tara taru salamata zai,1/ insects and ants have food the ship will go safely.,A man will prosper who is liberal to the poor.
Marathi,अगोदर चारा मग चोंच,Agodara tsara maga tsontsa,Firit the food then the beak.,They were created in this order.
Marathi,हत्तीचे दात खायचे वेगळे व दाखवायचे वेगळे,Hattltse data khayatse vegale va dakhavavayatse,vegae An elephant ha one et of teeth for eating another for thoK.,The latter are its tusks. A dissembler.
Marathi,मुंगी होऊन साखर खावी पण हत्ती होऊन लाकडे फोडू नयेत,Muiigi houna sakhara kbavi pana hattI hotina,ISidcade phodu nayeta Setter be an ant and eat sugar than be an elephant and eheto wood.,Lakadlvatsuna makadi vathanisa yeta n&hi Without a stick tie monkey will not be tractable. A beating is very generally held to be the right treatment for inferiors.
Marathi,"माकडाला दिला मेवा, खाऊ का ठेवू",Makadala dila meva khau ka. theu,"Fruil wfl ffiven to the monkey, he saya) ' Shall I eat it? or tkall I keep it? ' Marava tara hatti va lutave tara bhahdara If you kill, kill an elephant; if you rob, rob a treasury, 238 mooor win 'itBrr h\-4is Malyaci maka va kolhyatse bliaiidana Tie farmer's Indian com and Jackals quarrel about it.",
Marathi,ज्याची हाती ससा तो पारधी,JyacjiL hUti saea to paradhi,i/e who hat ca-ught the hare is the hunter. ' He plays well Who wins' (English). 229 €f tlnCWT ITWIT Pongara koral uiidira kadhala To excavate a. mountain awJ take out a rat. ' The mocmtaiD was in labour and broagbt fortb a monee.' 230 TfoSBTfrr HTpf g«T 5 TalyaeyS afiene susara nieli Tie crocodile died in the hope offiading a pond. 231 WW?f ftWT?W MflSft Dhanya tethe ghuT nidhana tethe viifavaBi Where there i grain there are handicotet; lehere there it treasure there it a wattut wife. 4. 232 4V1I ns Qi3oi£i TO trara iiflf Mif ¥19b Babuta dekhile tiletale pana cikhalasa n3.hl pabile dole I have teen many forehead-marki but I have never teen etfet in mud.,"Once upon a time a crocodile uid s jackal were frieads. One day the jackal invited the crocodile to dinner, bnt he prepared it up in a tree and sat there calling to hia friend to come np, which of course he oouid not do. To take reenge the crocodile determined to invite the jackaL After naming the time ha said to him"
Marathi,उंदराच्या पोराने लोखंडाशी खेळू नये,Undaracya porane lokhandai khelu naye,A TOt'i young one should not play with iron. 219 WT3Prt ftrfifW ifl nx KarakuDatse lihine undaraci khada The clerk'e writing is jU food for a rat. 220 fRfT ■irfti -rfwc jwr Kolba 3.91 buddblla bhala Ajaekal't intellect i» great.,Like the fox he is always represented as being shrewd and cnnning. Digitized ByGOOgle
Marathi,अडक्याला हत्ती पण पोसायला नाही शक्ती,Adakyala hatti pana posayala nabi kti,"An elephant for a penny but no power to feed, it, 214 iri 4t 3t)i3s vnr Adale kolhe mangala gaya A dUtrened JacJtal sing tweetly.",Pretende lie is not in troable.
Marathi,सोकली मेंढी तेच रान धुंडी,Sokall mend hi tetsa rana dhuiidl,A sheep toill frequent the pasture where it has found fodder.,Grazing is scanty during tnaoy months.
Marathi,शिंके तुटले बोक्याचे साधले,Siuke tutale bokyatse eadhale,The ttupended net (of victual) broke and the cai teat profited.,Sometimes the two verbs are eitale and banale.
Marathi,वादीकरिता म्हैस मारणार,Yadikarita mbaisa maraiiara,To kill a buffalo in order to obtain a itrip of leather from it hide). 201 WltWT %Z%\ fWT flH% WTWPTT I35 WTTft Yesanila zfaataka dila mhanaje nakala kala lagati If yon Jerk the bullocl's) note-string its nose will feel a sharp pain.,Severe meaBores mnet be taken in some cases.
Marathi,भाड्याचे घोडे ओझ्याने मेले,Bhadyatse ghode ozhyane mele,"Tke iired kor«e died from iig toad. 174. 182 5 as'st ureaEif Bhnkele guru valateani adbalate Tie hungry animal will be foii,ni under tlie house-eaves.","When grazing' is scanty it ia eager to get back into its atall,"
Marathi,पाण्यात म्हैस व वर मोल,Fanyaiita mhaisa va vara mola,To settle the price of a iuffolo lehile s/ie is lying wt the water. ' To buy a pig in a poke ' (English). 171 gft flitfl?!%' wratw flitH Fudhila zota tnse mflla zota As th front yoke (gf are«) so the lack. 172 fid: Tit Phire to tsare The animal that moves about will find pasture. ' The hand of the diligent maketh rich.' To this may be added Base to phase (and he who sits will stick). 173 nirnc fiWffT'iTtw H %flft T% sTOff'f BasanSxa asela kharamanta tara tejl tsSle zhara zharita Jf the rider be smart the mare Kill go fast.,A strict master will gmzedbyGOOgle
Marathi,दुभत्या गाईच्या लाथा गोड,Dubhatya gaicya latha goda,Tie kids of a cow in mUk are »weet. 167 fVTT 'p WT Dadha gaitse phula zaitse The milk of a coic: powers of tie Zai tree.,"The best of their kind,"
Marathi,थोरा घरचे श्वान त्यास देती सर्वही मान,Thora gharatse svaoa tyasa deti sarvahi mana,In a great home even the dog is respected. 165 f arra TT! lf TT Dile gaya data kl nSliI A gift-cow — ' Wht/ hat it no teeth? ' ' Don't look a gift-horse in the month ' (EogliehJ.,Sometimes the first word is dharmdd.
Marathi,चोरी नेले घोडे एक बसो किंवा दोन बसोत,Tsori Dele ghode eka baso kimva dona basota,Now the Aorge m stolen let one or let two sit on it.,We do not trouble about a thing which is no longer ours.
Marathi,चुकले गुरू आखरास पहावे,Tsukale guru akharasa pahave,"Ifooi for a lott animal on the village grecH, The akhar is the place near a Tillage where the cattle assemble before being driven out to graze.",
Marathi,घोड्याच्या पायी येणे आणि मुंगीच्या पायी जाणे,Ghodyacya payl yeae ani muhgicya payi zane,"To come witA He legi cfa horte, to go with the leg of an ani.","To come quickly and be very slow to go. RcIatiTes, trouble, illnese,"
Marathi,घोडे खाई भाडे,Ghode khai bhade,"The horse eats hie earnings, 'The horse is eating his head off' (EnglLsh). 149 7 VilNl faifllfll ftn 1T Ghodyaci pariksa jinavaxuna hota nahi A horse cannot be Judged by the saddle. gmzedbyGOOgle",
Marathi,घोडा मैदान पुढेच आहे,Gbodfl maidaDa pudhetea ahe,The horse and the meadow are both before at.,A desired com bination. The hour hae come and also the man' (English). Sometimes simply Ed ghodd 7te maiddna.
Marathi,खट गाय खाटकाचे घरी बरी,Khata gaya kbatakatse gban ban,A bad cow i» beat in the house of the butcher. 125 WlJJTJir Khadana gura babu dudha A troublesome beast and much milk.,A rogne is clever at work.
Marathi,आपले गरजे गाढव राजे,Apale garaze gadbava raze,In time of need we call even a donkey King. 89.,
Marathi,कोंबडी मेली पिले दाणादाण,Eorribadl mell pile daoadana,"The fowl died, her chickens icere scattered. gmzedbyGOOgle",
